authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
8b43TnVJDtBmSHw9YY7fsUTYE4uZoT7DTK9FE88f71ED,19,E9npU9gF6YRYknWoSPrphRyu91yNtzjLZBRdxkjiMir,1,0,1,1,0.000001,-179548,0,0,1769835142
8bqpSEZiWsb3eTQvb9bqztR83kMmjNVbBHgYn3kn7EVA,19,Dxejog1fejmq5HxjApi9DVceUmhvJCG1PqdU1aNquz6L,1,0,1,1,0.000001,-384169,0,0,1730892059
8eVYWRzEnTkaMjukjKQzGBq1CJpM4uYH7Z2GHpzbb5qp,19,7UCMDACfxZxhCU2KFpRF6Mn17gEoQnCtahnscs9QwgRs,1,0,1,1,0.000001,-398583,0,0,1741626971
8x4JL2E123W7i8Na11oUoUFESA2hJGRgEDauqMHoDcSj,19,HmRVZapdJ8MEfFfgFvmn2LMGo3myLGGminZXVuZ6i5Fd,1,0,1,1,0.000001,-5421,0,0,1761051056
9pQG1rANJwrYauLdkgWDiMKqmpVJzuS7KRT7VEJ4A3NR,19,ErQqsqR5YkxqgvxqWrEeMJB9GRFYXXHZNVKqkYdNFF12,1,0,1,1,0.000001,-31169,0,0,1745795429
9xHtmUFbiHzopSvxZ8D5wRQxgWqbrEVJmkP6oSxvov1n,19,BiBGP9mrMXwc9XTpL7pzLeUFsE71FP41ceNPjbrDCt7w,1,0,1,1,0.000001,1,0,0,1754213000
AbPrVz9wuAhh3bMLnuAobr4gnY6nPvviGafemW7GZC7T,19,GqcMT5dMmXM7iprkEZJukYsy5dMWKF78tmJobcKHjSZk,1,0,1,1,0.000001,-1017395,0,0,1742377287
AERY3P5JWpTicGB7XtP5SfNd754vewRipW1bce2R7dLK,19,7QsK3Z6bv6aty2YosTZQ1WUpKgCCkexwnNZtZvRTWbZN,1,0,1,1,0.000001,-962849,0,0,1745682171
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,19,C9HbiKaKF9nwwcBPLNdQCt5Ncc7AX6ZcFcw5tNQ3VePz,1,0,1,1,0.000001,-45142,0,0,1748981224
B4i6jwefrmDztdzuR6hMuhjaa8iwM17o4Yo91zazWyYH,19,ScxzA8e71HLh4RpGTjMPNHBx6L3emK1BGawJWnVuRkn,1,0,1,1,0.000001,-1620,0,0,1755980085
BnGt7pewVh4FVT5PmPGFKTEtNgQVivFUAPHLdXNpEXQp,19,3KL9oyeDqMyU5BKe1cuEoDpSaQvKp9aBugY9QYMBysc1,1,0,1,1,0.000001,-20594,0,0,1737785753
BNQDRqcuY1mxEtEAWJr133jeujVe3niKYuNAMcm2vFsr,19,AyVzxWV7KwjhLr1TYEfST3vz39HdkKkit4fQSMdrg2GD,1,0,1,1,0.000001,-1082590,0,0,1734546942
BnXwMqZbKPqiXujYUwtm1qyFHgywqhV2QSsMu5K4oDUw,19,8jojFXZ2uWbdPZJHtyjPULVpF9xgyoSj23Sp1QypZmPb,1,0,1,1,0.000001,-1558588,0,0,1738497906
BpG3rabtkKJWVRLz5vz5F4Br6hikqpa5G9VhMQ9wnUSH,19,EUvzE8NBPSxqht5JTxdKUH7ktaEUMPP8totSZ7aJHAKG,1,0,1,1,0.000001,-2491454,0,0,1735633695
Bzupfg69wRbcdx59c3DxX8M6pGj4eS1cBLpY5iDot17K,19,6nmwn4xTcN2zQScaEdMPMtWU8LsMJBzxtdv8Ac4xCX5o,1,0,1,1,0.000001,-12955,0,0,1735086858
CnZbGunAAQj3LStLPupDVZtSFfQVs4G5mt4XniUSiEsk,19,B1RRomzcJuXoT36ES9YMbTi8Zu11Y2GDe7JtqbbbkT3i,1,0,1,1,0.000001,-70460,0,0,1732205734
Dark1hPfDF7aPRJDL3KS74mnwyAxwL4zbFpEQ9EnE5gp,19,7anMvsW5ZAPSroXrfhEx8HEB54ve11vW6jWBN4B63twn,1,0,1,1,0.000001,-843506,0,0,1749408192
DBSCcfxxaSCoX2jozV64Chf78trKfwPL1dRXr4kv1KAC,19,xPqCTzSM7YbeXCYt6Ph5PLhczBY7TpoeMAkxgw74WKy,1,0,1,1,0.000001,-1437,0,0,1743318888
DJ9FVZuApAp6RDrrpEhwg5UFcKgXfWfGua8dgYszxNQk,19,4tuq7m8s1BTu21gpPWEN48oBDiHs5w8ymrBDhCjcqdMr,1,0,1,1,0.000001,-514629,0,0,1759618981
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,19,7fwf22cAfURNXamnELoPB6oTbro7xzQeUQKQ9fyvZb6h,1,0,1,1,0.000001,-44847,0,0,1741940156
DuxjumGDyqUgFhMjVyMVVzXfbYhC6AKbF1yfAm4vEvj5,19,Hbf3cDgWoye8f8EX6D27MqnBC3Bqf6tNZ44Dkm2N8C7Y,1,0,1,1,0.000001,-34314,0,0,1759142565
DYxxJ4oU46UZiiXfGmgUShwX95UWkQt1KfQqpSEGZ6YN,19,4HuGYWv2QJbH3hSmsqqgMebuk18YaiXkTkE49Hp1PzCd,1,0,1,1,0.000001,-15760,0,0,1753864380
E6zA8VnnnxNFzP1ao6gZrvC6uFGy4ErLnNg7YNZUhas8,19,5B28RQdsPxv38KVq9MAnyUmPDGYymeGwSgjYMDcj2UJ7,1,0,1,1,0.000001,-1857,0,0,1737168794
EPEYqcwdndTWLaE5Zr5FgASMi3RRKGWiV8SS3VPQLB89,19,HJUuLk47g9dE3u87QmGgJSkUiXN8A5Zh99FFNzCDH83r,1,0,1,1,0.000001,-182692,0,0,1766270037
F3mMi12MYvschJ3UrE2AesSeDBwC6gsf9YMB49KwEvqc,19,7UGuUFch6159RfbkJZac7wHakkyRxJ5VoTcQUN1muQHR,1,0,1,1,0.000001,-499880,0,0,1764667782
